,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,23,SFW,NBA,,12,,,,,,5,,,,,,,,,28
1963-64,24,SFW,NBA,,13,,,,,,12,15,,,,,,,6,33
1964-65,25,TOT,NBA,,8,,,,,,9,10,,,,,,,,24
1964-65,25,SFW,NBA,,8,19,,,,,9,10,,,14,4,,,6,24
1964-65,25,BAL,NBA,,7,,,,,,6,6,,,,,,,,18
1965-66,26,BAL,NBA,,8,,,,,,8,11,,,,,,,,20
1966-67,27,TOT,NBA,,9,,,,,,10,15,,,,,,,,24
1966-67,27,BAL,NBA,,7,,,,,,8,9,,,,,,,,20
1966-67,27,DET,NBA,,9,,,,,,10,15,,,,,,,,24
1967-68,28,DNR,ABA,,12,,0,,,,14,16,,,,,,,,31
1968-69,29,DNR,ABA,,15,,0,,,,14,17,,,,,,,,33
1969-70,30,LAS,ABA,,13,,0,,,,11,14,,,,,,,,31
1970-71,31,TOT,ABA,,13,,0,,,,16,19,,,,,,,,34
1970-71,31,UTS,ABA,,13,,0,,,,16,19,,,,,,,,34
1970-71,31,TEX,ABA,,11,,0,,,,12,15,,,,,,,,30
1971-72,32,CAR,ABA,,4,14,0,,4,,9,10,,,6,4,,,,13
Career,,,TOT,,15,,,,,,16,,,,,,,,,34
,,,NBA,,13,,,,,,12,,,,,,,,,33
,,,ABA,,15,,0,,,,16,19,,,,,,,,34
,,,,,,,,,,,,,,,,,,,,
3 Seasons,,SFW,NBA,,13,,,,,,12,,,,,,,,,33
2 Seasons,,DNR,ABA,,15,,0,,,,14,17,,,,,,,,33
3 Seasons,,BAL,NBA,,8,,,,,,8,11,,,,,,,,20
2 Seasons,,"LAS,UTS",ABA,,13,,0,,,,16,19,,,,,,,,34
1 Season,,TEX,ABA,,11,,0,,,,12,15,,,,,,,,30
1 Season,,DET,NBA,,9,,,,,,10,15,,,,,,,,24
1 Season,,CAR,ABA,,4,14,0,,4,,9,10,,,6,4,,,,13
