Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1962-63,23,SFW,NBA,PF,66,1387,7.8,0.396,NA,0.286,NA,NA,NA,NA,NA,NA,NA,NA,-1.9,1.1,-0.8,-0.029
1963-64,24,SFW,NBA,PF,79,2536,12,0.448,NA,0.322,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0.077
1964-65,25,TOT,NBA,PF,75,1547,10.5,0.431,NA,0.446,NA,NA,NA,4.7,NA,NA,NA,NA,-0.5,1.2,0.7,0.023
1964-65,25,SFW,NBA,PF,48,1037,10.1,0.429,NA,0.437,NA,NA,NA,5,NA,NA,NA,NA,-0.4,1.1,0.7,0.033
1964-65,25,BAL,NBA,PF,27,510,11.2,0.434,NA,0.466,NA,NA,NA,4.1,NA,NA,NA,NA,-0.1,0.1,0,0.003
1965-66,26,BAL,NBA,PF,24,460,10.6,0.415,NA,0.419,NA,NA,NA,9.5,NA,NA,NA,NA,-0.4,0.3,0,-0.003
1966-67,27,TOT,NBA,PF,72,1310,10.7,0.412,NA,0.37,NA,NA,NA,6.3,NA,NA,NA,NA,-1.5,1.3,-0.2,-0.007
1966-67,27,BAL,NBA,PF,43,746,10.2,0.407,NA,0.403,NA,NA,NA,6,NA,NA,NA,NA,-0.9,0.6,-0.3,-0.02
1966-67,27,DET,NBA,PF,29,564,11.4,0.418,NA,0.332,NA,NA,NA,6.7,NA,NA,NA,NA,-0.6,0.7,0.1,0.011
1967-68,28,DNR,ABA,PF,74,2459,17.7,0.47,0.005,0.482,NA,NA,10.2,8.9,NA,10.8,24,NA,2.1,3.6,5.8,0.112
1968-69,29,DNR,ABA,PF,67,2318,14.7,0.491,0.003,0.559,NA,NA,12.6,11.3,NA,15.6,18.2,NA,1.6,2.6,4.2,0.086
1969-70,30,LAS,ABA,PF,27,961,16.9,0.512,0.005,0.422,NA,NA,11.6,10.7,NA,13.4,21.2,NA,1.1,1,2.2,0.108
1970-71,31,TOT,ABA,PF,68,2355,13.3,0.47,0.004,0.426,NA,NA,11.1,10.2,NA,12.6,17.6,NA,-0.1,3,2.9,0.06
1970-71,31,UTS,ABA,PF,35,1135,13.1,0.463,0.002,0.419,NA,NA,10.8,11.6,NA,14.2,19,NA,-0.2,1.9,1.7,0.072
1970-71,31,TEX,ABA,PF,33,1220,13.4,0.477,0.005,0.432,NA,NA,11.5,8.9,NA,10.9,16.2,NA,0.1,1.1,1.2,0.048
1971-72,32,CAR,ABA,PF,13,141,13.4,0.438,0.031,0.563,10.7,17.8,14.1,9.7,NA,13.1,24,NA,-0.2,0.2,0,-0.001
Career,NA,,TOT,,565,15474,13.1,0.455,0.002,0.421,10.7,17.8,11.4,9,NA,12.9,20.2,NA,0.3,18.4,18.8,0.058
,NA,,NBA,,316,7240,10.5,0.426,NA,0.355,NA,NA,NA,6,NA,NA,NA,NA,-4.2,8,3.7,0.025
,NA,,ABA,,249,8234,15.4,0.48,0.005,0.48,10.7,17.8,11.4,10.2,NA,12.9,20.2,NA,4.5,10.5,15,0.087
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SFW,NBA,,193,4960,10.4,0.43,NA,0.335,NA,NA,NA,5,NA,NA,NA,NA,-2.2,6.2,3.9,0.038
2 seasons,NA,DNR,ABA,,141,4777,16.2,0.479,0.004,0.513,NA,NA,11.4,10.1,NA,12.8,21.2,NA,3.7,6.3,9.9,0.1
3 seasons,NA,BAL,NBA,,94,1716,10.6,0.416,NA,0.424,NA,NA,NA,6.4,NA,NA,NA,NA,-1.4,1.1,-0.3,-0.009
2 seasons,NA,"LAS,UTS",ABA,,62,2096,14.9,0.486,0.004,0.42,NA,NA,11.2,11.2,NA,13.8,20,NA,0.9,2.9,3.9,0.089
1 season,NA,TEX,ABA,,33,1220,13.4,0.477,0.005,0.432,NA,NA,11.5,8.9,NA,10.9,16.2,NA,0.1,1.1,1.2,0.048
1 season,NA,DET,NBA,,29,564,11.4,0.418,NA,0.332,NA,NA,NA,6.7,NA,NA,NA,NA,-0.6,0.7,0.1,0.011
1 season,NA,CAR,ABA,,13,141,13.4,0.438,0.031,0.563,10.7,17.8,14.1,9.7,NA,13.1,24,NA,-0.2,0.2,0,-0.001
