Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Wayne Hightower,,5.8,4.2,4,2.9,2.2,0.7,0,0,-0.2,-0.8
Ronald Franz,84.7,5.9,3.7,3.3,2.2,2.1,0.9,NA,NA,NA,NA
Paul Griffin,83.8,4.9,4.4,4.1,2.9,1.6,1.4,0.4,NA,NA,NA
Scott May,83.6,5.4,4.2,3.1,2.4,2.2,0.1,-0.1,NA,NA,NA
DeJuan Blair,83.4,4.8,4.6,4,3.4,2.2,0.1,-0.1,NA,NA,NA
Robert Covington,82.7,6.1,4,3.1,2.5,2,0.1,NA,NA,NA,NA
Nikola Mirotić,82.4,5.7,4,3.9,3.8,3.5,NA,NA,NA,NA,NA
Buck Johnson,82.1,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA,NA,NA
Andray Blatche,80.3,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1,NA
Michael Kidd-Gilchrist,80.2,5.8,3.8,3.3,3.1,2.5,2.1,0.6,NA,NA,NA
Terrence Ross,80.2,4.3,4.2,3.6,3.5,2.4,0.9,0.3,NA,NA,NA
