Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,23,SFW,NBA,PF,66,NA,1387,5,14.2,0.35,NA,NA,NA,5,14.2,0.35,2.7,4.1,0.669,NA,NA,9.2,1.3,NA,NA,4.7,12.7
1963-64,24,SFW,NBA,PF,79,NA,2536,5.6,14.5,0.385,NA,NA,NA,5.6,14.5,0.385,3.7,4.7,0.79,NA,NA,8,1.9,NA,NA,3.8,14.8
1964-65,25,TOT,NBA,PF,75,NA,1547,4.6,13.3,0.344,NA,NA,NA,4.6,13.3,0.344,4.5,5.9,0.768,NA,NA,9.8,1.3,NA,NA,4.7,13.7
1964-65,25,SFW,NBA,PF,48,NA,1037,4.7,13.7,0.343,NA,NA,NA,4.7,13.7,0.343,4.6,6,0.769,NA,NA,8.6,1.3,NA,NA,5,14.1
1964-65,25,BAL,NBA,PF,27,NA,510,4.2,12.3,0.345,NA,NA,NA,4.2,12.3,0.345,4.4,5.7,0.765,NA,NA,12.2,1.1,NA,NA,4.3,12.8
1965-66,26,BAL,NBA,PF,24,NA,460,4.9,14.6,0.339,NA,NA,NA,4.9,14.6,0.339,4.5,6.1,0.731,NA,NA,10.3,2.7,NA,NA,4.8,14.3
1966-67,27,TOT,NBA,PF,72,NA,1310,5.4,15.6,0.344,NA,NA,NA,5.4,15.6,0.344,4.2,5.8,0.729,NA,NA,11.1,1.8,NA,NA,5.2,14.9
1966-67,27,BAL,NBA,PF,43,NA,746,5,14.9,0.334,NA,NA,NA,5,14.9,0.334,4.3,6,0.718,NA,NA,11.6,1.7,NA,NA,5.3,14.2
1966-67,27,DET,NBA,PF,29,NA,564,5.9,16.5,0.355,NA,NA,NA,5.9,16.5,0.355,4.1,5.5,0.744,NA,NA,10.5,1.8,NA,NA,5.1,15.8
1967-68,28,DNR,ABA,PF,74,NA,2459,6.3,16.5,0.383,0,0.1,0,6.3,16.4,0.385,6.1,7.9,0.773,NA,NA,7.8,2.1,NA,2.4,3.5,18.8
1968-69,29,DNR,ABA,PF,67,NA,2318,4.8,11.8,0.408,0,0,0,4.8,11.8,0.409,4.8,6.6,0.73,2.4,7.5,10,3.2,NA,2.7,3.7,14.5
1969-70,30,LAS,ABA,PF,27,NA,961,6.7,15.1,0.447,0,0.1,0,6.7,15,0.449,4.8,6.4,0.759,2.9,6.6,9.6,2.7,NA,2.8,3.8,18.3
1970-71,31,TOT,ABA,PF,68,NA,2355,5.2,13,0.4,0,0,0,5.2,12.9,0.401,4.1,5.5,0.742,3.3,6.1,9.4,3,NA,2.2,3.1,14.5
1970-71,31,UTS,ABA,PF,35,NA,1135,5.3,13.5,0.391,0,0,0,5.3,13.5,0.392,4.3,5.7,0.749,3.3,5.8,9.1,3.3,NA,2.7,3.4,14.8
1970-71,31,TEX,ABA,PF,33,NA,1220,5.1,12.4,0.409,0,0.1,0,5.1,12.4,0.411,4,5.4,0.736,3.4,6.3,9.7,2.7,NA,1.8,2.9,14.1
1971-72,32,CAR,ABA,PF,13,NA,141,5.1,16.3,0.313,0,0.5,0,5.1,15.8,0.323,7.7,9.2,0.833,4.3,6.6,11,2.8,NA,3.1,4.9,17.9
Career,NA,,TOT,,565,NA,15474,5.4,14.2,0.381,0,0.1,0,5.4,14.1,0.382,4.5,6,0.752,2.9,6.8,9.2,2.2,NA,2.5,4,15.3
,NA,,NBA,,316,NA,7240,5.2,14.4,0.359,NA,NA,NA,5.2,14.4,0.359,3.8,5.1,0.749,NA,NA,9.3,1.7,NA,NA,4.5,14.2
,NA,,ABA,,249,NA,8234,5.6,14,0.4,0,0.1,0,5.6,13.9,0.402,5.1,6.7,0.754,2.9,6.8,9.1,2.7,NA,2.5,3.5,16.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SFW,NBA,,193,NA,4960,5.2,14.3,0.367,NA,NA,NA,5.2,14.3,0.367,3.6,4.8,0.756,NA,NA,8.5,1.6,NA,NA,4.3,14.1
2 seasons,NA,DNR,ABA,,141,NA,4777,5.6,14.2,0.393,0,0.1,0,5.6,14.2,0.395,5.5,7.3,0.754,2.4,7.5,8.9,2.6,NA,2.6,3.6,16.7
3 seasons,NA,BAL,NBA,,94,NA,1716,4.7,14,0.338,NA,NA,NA,4.7,14,0.338,4.4,5.9,0.735,NA,NA,11.4,1.8,NA,NA,4.9,13.8
2 seasons,NA,"LAS,UTS",ABA,,62,NA,2096,6,14.3,0.418,0,0.1,0,6,14.2,0.42,4.5,6,0.754,3.1,6.2,9.3,3,NA,2.7,3.6,16.4
1 season,NA,TEX,ABA,,33,NA,1220,5.1,12.4,0.409,0,0.1,0,5.1,12.4,0.411,4,5.4,0.736,3.4,6.3,9.7,2.7,NA,1.8,2.9,14.1
1 season,NA,DET,NBA,,29,NA,564,5.9,16.5,0.355,NA,NA,NA,5.9,16.5,0.355,4.1,5.5,0.744,NA,NA,10.5,1.8,NA,NA,5.1,15.8
1 season,NA,CAR,ABA,,13,NA,141,5.1,16.3,0.313,0,0.5,0,5.1,15.8,0.323,7.7,9.2,0.833,4.3,6.6,11,2.8,NA,3.1,4.9,17.9
