Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,23,SFW,NBA,PF,66,NA,1387,192,548,0.35,NA,NA,NA,192,548,0.35,0.35,105,157,0.669,NA,NA,354,51,NA,NA,181,489
1963-64,24,SFW,NBA,PF,79,NA,2536,393,1022,0.385,NA,NA,NA,393,1022,0.385,0.385,260,329,0.79,NA,NA,566,133,NA,NA,269,1046
1964-65,25,TOT,NBA,PF,75,NA,1547,196,570,0.344,NA,NA,NA,196,570,0.344,0.344,195,254,0.768,NA,NA,420,54,NA,NA,204,587
1964-65,25,SFW,NBA,PF,48,NA,1037,136,396,0.343,NA,NA,NA,136,396,0.343,0.343,133,173,0.769,NA,NA,247,38,NA,NA,143,405
1964-65,25,BAL,NBA,PF,27,NA,510,60,174,0.345,NA,NA,NA,60,174,0.345,0.345,62,81,0.765,NA,NA,173,16,NA,NA,61,182
1965-66,26,BAL,NBA,PF,24,NA,460,63,186,0.339,NA,NA,NA,63,186,0.339,0.339,57,78,0.731,NA,NA,131,35,NA,NA,61,183
1966-67,27,TOT,NBA,PF,72,NA,1310,195,567,0.344,NA,NA,NA,195,567,0.344,0.344,153,210,0.729,NA,NA,405,64,NA,NA,190,543
1966-67,27,BAL,NBA,PF,43,NA,746,103,308,0.334,NA,NA,NA,103,308,0.334,0.334,89,124,0.718,NA,NA,241,36,NA,NA,110,295
1966-67,27,DET,NBA,PF,29,NA,564,92,259,0.355,NA,NA,NA,92,259,0.355,0.355,64,86,0.744,NA,NA,164,28,NA,NA,80,248
1967-68,28,DNR,ABA,PF,74,NA,2459,431,1126,0.383,0,6,0,431,1120,0.385,0.383,420,543,0.773,NA,NA,536,143,NA,165,237,1282
1968-69,29,DNR,ABA,PF,67,NA,2318,311,762,0.408,0,2,0,311,760,0.409,0.408,311,426,0.73,155,486,641,203,NA,176,241,933
1969-70,30,LAS,ABA,PF,27,NA,961,180,403,0.447,0,2,0,180,401,0.449,0.447,129,170,0.759,78,177,255,71,NA,74,101,489
1970-71,31,TOT,ABA,PF,68,NA,2355,339,848,0.4,0,3,0,339,845,0.401,0.4,268,361,0.742,219,396,615,194,NA,145,204,946
1970-71,31,UTS,ABA,PF,35,NA,1135,167,427,0.391,0,1,0,167,426,0.392,0.391,134,179,0.749,103,184,287,104,NA,84,107,468
1970-71,31,TEX,ABA,PF,33,NA,1220,172,421,0.409,0,2,0,172,419,0.411,0.409,134,182,0.736,116,212,328,90,NA,61,97,478
1971-72,32,CAR,ABA,PF,13,NA,141,20,64,0.313,0,2,0,20,62,0.323,0.313,30,36,0.833,17,26,43,11,NA,12,19,70
Career,NA,,TOT,,565,NA,15474,2320,6096,0.381,0,15,0,2320,6081,0.382,0.381,1928,2564,0.752,469,1085,3966,959,NA,572,1707,6568
,NA,,NBA,,316,NA,7240,1039,2893,0.359,NA,NA,NA,1039,2893,0.359,0.359,770,1028,0.749,NA,NA,1876,337,NA,NA,905,2848
,NA,,ABA,,249,NA,8234,1281,3203,0.4,0,15,0,1281,3188,0.402,0.4,1158,1536,0.754,469,1085,2090,622,NA,572,802,3720
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SFW,NBA,,193,NA,4960,721,1966,0.367,NA,NA,NA,721,1966,0.367,0.367,498,659,0.756,NA,NA,1167,222,NA,NA,593,1940
2 seasons,NA,DNR,ABA,,141,NA,4777,742,1888,0.393,0,8,0,742,1880,0.395,0.393,731,969,0.754,155,486,1177,346,NA,341,478,2215
3 seasons,NA,BAL,NBA,,94,NA,1716,226,668,0.338,NA,NA,NA,226,668,0.338,0.338,208,283,0.735,NA,NA,545,87,NA,NA,232,660
2 seasons,NA,"LAS,UTS",ABA,,62,NA,2096,347,830,0.418,0,3,0,347,827,0.42,0.418,263,349,0.754,181,361,542,175,NA,158,208,957
1 season,NA,TEX,ABA,,33,NA,1220,172,421,0.409,0,2,0,172,419,0.411,0.409,134,182,0.736,116,212,328,90,NA,61,97,478
1 season,NA,DET,NBA,,29,NA,564,92,259,0.355,NA,NA,NA,92,259,0.355,0.355,64,86,0.744,NA,NA,164,28,NA,NA,80,248
1 season,NA,CAR,ABA,,13,NA,141,20,64,0.313,0,2,0,20,62,0.323,0.313,30,36,0.833,17,26,43,11,NA,12,19,70
