,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1963-64,24,SFW,NBA,,5,,,,,,6,7,,,,,,,6,13
1964-65,25,TOT,NBA,,6,14,,,,,5,6,,,13,2,,,5,17
1964-65,25,BAL,NBA,,6,14,,,,,5,6,,,13,2,,,5,17
1967-68,28,DNR,ABA,,8,,0,,,,12,14,,,,,,,,28
1968-69,29,DNR,ABA,,8,,0,,,,13,14,,,,,,,,23
1970-71,31,TOT,ABA,,5,,0,,,,7,8,,,,,,,,17
1970-71,31,TEX,ABA,,5,,0,,,,7,8,,,,,,,,17
Career,,,TOT,,8,,,,,,13,14,,,,,,,,28
,,,NBA,,6,,,,,,6,7,,,,,,,6,17
,,,ABA,,8,,0,,,,13,14,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,
2 Seasons,,DNR,ABA,,8,,0,,,,13,14,,,,,,,,28
1 Season,,SFW,NBA,,5,,,,,,6,7,,,,,,,6,13
1 Season,,BAL,NBA,,6,14,,,,,5,6,,,13,2,,,5,17
1 Season,,TEX,ABA,,5,,0,,,,7,8,,,,,,,,17
