Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1963-64,24,SFW,NBA,PF,12,NA,286,29,112,0.259,NA,NA,NA,29,112,0.259,0.259,23,33,0.697,NA,NA,50,18,NA,NA,42,81
1964-65,25,BAL,NBA,PF,10,NA,196,27,64,0.422,NA,NA,NA,27,64,0.422,0.422,14,22,0.636,NA,NA,57,8,NA,NA,25,68
1967-68,28,DNR,ABA,PF,5,NA,209,35,100,0.35,0,1,0,35,99,0.354,0.35,43,54,0.796,NA,NA,44,11,NA,22,25,113
1968-69,29,DNR,ABA,PF,7,NA,187,25,63,0.397,0,0,NA,25,63,0.397,0.397,34,45,0.756,NA,NA,47,12,NA,18,22,84
1970-71,31,TEX,ABA,PF,4,NA,126,11,34,0.324,0,0,NA,11,34,0.324,0.324,13,17,0.765,16,16,32,11,NA,9,12,35
Career,NA,,TOT,,38,NA,1004,127,373,0.34,0,1,0,127,372,0.341,0.34,127,171,0.743,16,16,230,60,NA,49,126,381
,NA,,NBA,,22,NA,482,56,176,0.318,NA,NA,NA,56,176,0.318,0.318,37,55,0.673,NA,NA,107,26,NA,NA,67,149
,NA,,ABA,,16,NA,522,71,197,0.36,0,1,0,71,196,0.362,0.36,90,116,0.776,16,16,123,34,NA,49,59,232
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DNR,ABA,,12,NA,396,60,163,0.368,0,1,0,60,162,0.37,0.368,77,99,0.778,NA,NA,91,23,NA,40,47,197
1 season,NA,SFW,NBA,,12,NA,286,29,112,0.259,NA,NA,NA,29,112,0.259,0.259,23,33,0.697,NA,NA,50,18,NA,NA,42,81
1 season,NA,BAL,NBA,,10,NA,196,27,64,0.422,NA,NA,NA,27,64,0.422,0.422,14,22,0.636,NA,NA,57,8,NA,NA,25,68
1 season,NA,TEX,ABA,,4,NA,126,11,34,0.324,0,0,NA,11,34,0.324,0.324,13,17,0.765,16,16,32,11,NA,9,12,35
