Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1963-64,24,SFW,NBA,PF,12,NA,286,3.7,14.1,0.259,NA,NA,NA,3.7,14.1,0.259,2.9,4.2,0.697,NA,NA,6.3,2.3,NA,NA,5.3,10.2
1964-65,25,BAL,NBA,PF,10,NA,196,5,11.8,0.422,NA,NA,NA,5,11.8,0.422,2.6,4,0.636,NA,NA,10.5,1.5,NA,NA,4.6,12.5
1967-68,28,DNR,ABA,PF,5,NA,209,6,17.2,0.35,0,0.2,0,6,17.1,0.354,7.4,9.3,0.796,NA,NA,7.6,1.9,NA,3.8,4.3,19.5
1968-69,29,DNR,ABA,PF,7,NA,187,4.8,12.1,0.397,0,0,NA,4.8,12.1,0.397,6.5,8.7,0.756,NA,NA,9,2.3,NA,3.5,4.2,16.2
1970-71,31,TEX,ABA,PF,4,NA,126,3.1,9.7,0.324,0,0,NA,3.1,9.7,0.324,3.7,4.9,0.765,4.6,4.6,9.1,3.1,NA,2.6,3.4,10
Career,NA,,TOT,,38,NA,1004,4.6,13.4,0.34,0,0.1,0,4.6,13.3,0.341,4.6,6.1,0.743,4.6,4.6,8.2,2.2,NA,3.4,4.5,13.7
,NA,,NBA,,22,NA,482,4.2,13.1,0.318,NA,NA,NA,4.2,13.1,0.318,2.8,4.1,0.673,NA,NA,8,1.9,NA,NA,5,11.1
,NA,,ABA,,16,NA,522,4.9,13.6,0.36,0,0.1,0,4.9,13.5,0.362,6.2,8,0.776,4.6,4.6,8.5,2.3,NA,3.4,4.1,16
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DNR,ABA,,12,NA,396,5.5,14.8,0.368,0,0.1,0,5.5,14.7,0.37,7,9,0.778,NA,NA,8.3,2.1,NA,3.6,4.3,17.9
1 season,NA,SFW,NBA,,12,NA,286,3.7,14.1,0.259,NA,NA,NA,3.7,14.1,0.259,2.9,4.2,0.697,NA,NA,6.3,2.3,NA,NA,5.3,10.2
1 season,NA,BAL,NBA,,10,NA,196,5,11.8,0.422,NA,NA,NA,5,11.8,0.422,2.6,4,0.636,NA,NA,10.5,1.5,NA,NA,4.6,12.5
1 season,NA,TEX,ABA,,4,NA,126,3.1,9.7,0.324,0,0,NA,3.1,9.7,0.324,3.7,4.9,0.765,4.6,4.6,9.1,3.1,NA,2.6,3.4,10
