Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Micheal Ray Richardson,,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA,NA,NA
Eric Bledsoe,90.0,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2,NA,NA,NA
Steve Jones,89.1,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,NA,NA,NA
Ben Gordon,86.9,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,0.3,-0.3,-0.6,NA
Bradley Beal,86.4,8.5,7.6,6.9,4,3.7,3,2.7,NA,NA,NA,NA,NA
Phil Smith,86.1,9.4,7,6.3,5.2,4.8,2.9,2.2,1.7,1.6,NA,NA,NA
Don Chaney,85.8,8.7,6.3,5.9,5.8,5.1,2.9,0.8,0.6,0.4,0.3,-0.1,-0.5
Scott Skiles,85.5,8,7,4.5,4.4,3.2,2,1.3,0.3,0.1,-0.2,NA,NA
Warren Jabali,85.1,10.7,7.3,5.8,3.5,3.2,2.6,2.1,NA,NA,NA,NA,NA
Clem Haskins,85.0,6.8,6.4,6.1,5.3,3.4,2.9,2.3,1.6,1,NA,NA,NA
Johnny Moore,85.0,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,NA,NA,NA
