Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Micheal Ray Richardson,,8.7,6.9,6,5.5,3.3,2.4,2,0.3
Steve Jones,90.5,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1
Latrell Sprewell,89.6,8.1,8,6.6,5.5,4,3,2,0.4
Ben Gordon,89.0,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7
Phil Smith,88.9,9.4,7,6.3,5.2,4.8,2.9,2.2,1.6
Jerry Stackhouse,88.9,9.2,7.3,6.5,5.8,4.7,2.1,1.9,1.2
Ricky Pierce,88.0,9.4,8.3,6.7,5.8,3,2.2,1.8,-0.1
Mike Newlin,87.3,8.5,5.9,5.8,5.2,4.7,2.9,1.8,1.6
Kendall Gill,87.2,8.8,6.7,5.9,4.7,4.6,3.2,2.9,1.8
Clem Haskins,87.2,6.8,6.4,6.1,5.3,3.4,2.9,1.6,1
Jerry Sloan,87.0,7.2,6.5,6.4,6,2.9,2.6,1.9,1.4
