Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ronnie Lester,,3.9,1.7,0.7,0.2,0,-0.2
Stan Stutz,87.0,3.9,1.7,1.1,NA,NA,NA
Jiří Welsch,80.8,3.6,1.7,0.8,-0.4,NA,NA
Dan Dickau,79.6,3.5,1.5,0.4,0.4,0,0
Pat Connaughton,78.1,3.9,2.5,0.6,-0.2,NA,NA
Jeffrey Congdon,76.9,4.3,0.9,0.7,0.3,0,NA
Al Butler,76.6,4.1,2.1,1.1,-0.3,NA,NA
Shabazz Napier,76.5,3.2,2,0.6,0.5,0.1,NA
Bryn Forbes,75.8,3.8,2.1,0.1,NA,NA,NA
Ron Perry,75.3,4.4,1.4,0.3,NA,NA,NA
Billy Ray Bates,75.2,3.6,2.4,0.9,0,NA,NA
