Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Don Carlson,,5.8,2.8,2.6,0.2
Lester Conner,94.7,5.9,2.8,2.7,0.5
Ricky Rubio,89.9,5.9,3,2,0.5
Quentin Richardson,88.7,5.6,3,2.4,1
Bojan Bogdanović,87.9,5.4,2.9,2.4,0.9
John Paxson,87.8,6,2.3,2.2,0.6
Jim Cleamons,86.2,5.5,2.6,1.7,0.1
Bimbo Coles,86.1,5.7,3.2,3,1.1
Danny Young,85.2,4.8,2.9,2.4,-0.1
Buddy Hield,85.1,5.9,2.8,1.3,NA
Luther Head,83.7,5.7,3.5,3.5,0.6
