Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1946-47,27,CHS,BAA,NA,59,NA,NA,0.344,0.188,NA,NA,NA,NA,NA,3.3,2.4,5.8,NA
1948-49,29,MNL,BAA,NA,55,NA,NA,0.369,0.206,NA,NA,NA,NA,NA,0.7,2,2.8,NA
1949-50,30,MNL,NBA,NA,57,NA,NA,0.402,0.328,NA,NA,NA,NA,NA,0.7,1.9,2.6,NA
1950-51,31,BLB,NBA,NA,9,NA,NA,0.396,0.348,NA,NA,NA,NA,NA,0,0.1,0.2,NA
Career,NA,,TOT,NA,180,NA,NA,0.364,0.221,NA,NA,NA,NA,NA,4.8,6.5,11.3,NA
,NA,,BAA,NA,114,NA,NA,0.355,0.196,NA,NA,NA,NA,NA,4,4.5,8.5,NA
,NA,,NBA,NA,66,NA,NA,0.401,0.33,NA,NA,NA,NA,NA,0.7,2,2.8,NA
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,MNL,BAA,NA,112,NA,NA,0.38,0.244,NA,NA,NA,NA,NA,1.4,4,5.4,NA
1 season,NA,CHS,BAA,NA,59,NA,NA,0.344,0.188,NA,NA,NA,NA,NA,3.3,2.4,5.8,NA
1 season,NA,BLB,NBA,NA,9,NA,NA,0.396,0.348,NA,NA,NA,NA,NA,0,0.1,0.2,NA
