,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,27,CHS,BAA,,13,,6,,,,,28
1948-49,29,MNL,BAA,,10,,5,6,,,,21
1949-50,30,MNL,NBA,,6,,5,8,,,,16
1950-51,31,BLB,NBA,,3,,2,3,,,,8
Career,,,TOT,,13,,6,,,,,28
,,,NBA,,6,,5,8,,,,16
,,,BAA,,13,,6,,,,,28
,,,,,,,,,,,,
2 Seasons,,MNL,BAA,,10,,5,8,,,,21
1 Season,,CHS,BAA,,13,,6,,,,,28
1 Season,,BLB,NBA,,3,,2,3,,,,8
