,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1983-84,19,UNC,30,412,38,79,,,25,33,,85,14,5,3,20,32,101,.481,,.758,13.7,3.4,2.8,0.5
1984-85,20,UNC,30,914,112,198,,,50,64,,158,58,17,14,59,79,274,.566,,.781,30.5,9.1,5.3,1.9
1985-86,21,UNC,34,854,149,280,,,42,59,,224,72,17,11,71,83,340,.532,,.712,25.1,10.0,6.6,2.1
1986-87,22,UNC,34,1005,212,371,23,40,69,87,,240,99,45,11,57,85,516,.571,.575,.793,29.6,15.2,7.1,2.9
Career,,,128,3185,511,928,23,40,186,243,,707,243,84,39,207,279,1231,.551,.575,.765,24.9,9.6,5.5,1.9
