Season,Team,Lg,Salary
1994-95,New York Knicks,NBA,"$555,000"
1995-96,New York Knicks,NBA,"$722,000"
1996-97,New York Knicks,NBA,"$888,000"
1997-98,New York Knicks,NBA,"$1,054,500"
1998-99,New York Knicks,NBA,"$1,221,000"
1999-00,New York Knicks,NBA,"$4,540,000"
2000-01,New York Knicks,NBA,"$5,040,000"
2001-02,New York Knicks,NBA,"$5,110,000"
2002-03,New York Knicks,NBA,"$5,570,000"
2003-04,New York Knicks,NBA,"$6,030,000"
2004-05,Houston Rockets,NBA,"$1,700,000"
2005-06,Houston Rockets,NBA,"$1,870,000"
Career,(may be incomplete),,"$34,300,500"
