Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Charlie Ward,,7.1,5.5,3.9,3.7,3.6,3.1,2.9,1.9,1,0.5,-0.2
Travis Best,90.7,7.2,5.1,4.1,3.4,3.3,2.5,2.1,1.8,0.7,0.7,NA
John Salmons,90.3,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.6,1.4,0.6,0.4
Raja Bell,89.5,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,0.5,-0.1
Mike Woodson,89.5,7.8,5.7,4.2,4.2,4,3.5,3.1,0.9,0.9,0.7,-0.2
Foots Walker,88.8,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5,0.3,NA
Jim Cleamons,88.6,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1,NA,NA
Luke Ridnour,87.4,6.2,5.4,4.4,4.3,4,3.4,3.3,2.3,1.2,0.9,0.1
Raymond Felton,86.0,6.5,5.4,4.3,4.2,3.4,2.7,2.6,2.3,2.2,1.7,0.2
Gerald Wilkins,85.6,6.8,4.4,4.3,4,3.5,3.4,3.3,3,2.1,0.7,-0.2
Thabo Sefolosha,85.3,6.8,4.5,4.1,4,3.3,3,2.5,2.2,1.8,1.5,0.8
