Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Brian Quinnett,,0.8,0.1,-0.1
Alton Ford,93.1,0.8,0.1,-0.1
Joey Dorsey,85.3,0.8,0.1,0
Mel Bennett,80.0,0.7,0.1,-0.1
Eddie Lee Wilkins,77.3,0.8,0.3,-0.1
Terence Morris,72.8,0.9,0.2,-0.1
Reggie Slater,70.9,0.8,0.4,-0.1
Linton Townes,70.2,0.7,0,-0.1
Okaro White,69.6,0.6,0.2,0
Samardo Samuels,69.3,0.7,0,-0.1
Ivano Newbill,67.7,1.1,0.1,-0.1
