Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1964-65,26,NYK,NBA,PG,77,NA,1332,145,436,0.333,87,133,0.654,167,167,212,377
1965-66,27,NYK,NBA,PG,71,NA,1193,212,449,0.472,74,101,0.733,170,216,215,498
1966-67,28,NYK,NBA,PG,63,NA,1593,236,577,0.409,74,114,0.649,273,218,231,546
1967-68,29,NYK,NBA,PG,77,NA,968,112,291,0.385,59,86,0.686,133,134,173,283
1968-69,30,BOS,NBA,PG,80,NA,1388,197,488,0.404,65,100,0.65,192,176,264,459
1969-70,31,BOS,NBA,PG,71,NA,1617,210,520,0.404,135,181,0.746,269,231,201,555
1970-71,32,BUF,NBA,PG,73,NA,2137,288,684,0.421,151,203,0.744,262,352,266,727
1971-72,33,BUF,NBA,PG,54,NA,1223,101,220,0.459,75,125,0.6,127,206,167,277
Career,NA,,NBA,,566,NA,11451,1501,3665,0.41,720,1043,0.69,1593,1700,1729,3722
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NYK,NBA,,288,NA,5086,705,1753,0.402,294,434,0.677,743,735,831,1704
2 seasons,NA,BOS,NBA,,151,NA,3005,407,1008,0.404,200,281,0.712,461,407,465,1014
2 seasons,NA,BUF,NBA,,127,NA,3360,389,904,0.43,226,328,0.689,389,558,433,1004
