,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1964-65,26,NYK,NBA,,5,,8,10,,,,18
1965-66,27,NYK,NBA,,9,,4,6,,,,20
1966-67,28,NYK,NBA,,10,,5,6,,,,24
1967-68,29,NYK,NBA,,8,,4,7,,,,18
1968-69,30,BOS,NBA,,7,,5,6,,,,17
1969-70,31,BOS,NBA,,16,,7,9,,,,39
1970-71,32,BUF,NBA,,11,,7,11,,,,26
1971-72,33,BUF,NBA,,6,,11,18,,,,15
Career,,,,,16,,11,18,,,,39
4 Seasons,,NYK,NBA,,10,,8,10,,,,24
2 Seasons,,BOS,NBA,,16,,7,9,,,,39
2 Seasons,,BUF,NBA,,11,,11,18,,,,26
