Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Em Bryant,,2.1,2,1.9,1.7,1.1,0.5,0.1,-0.7
David Wingate,83.2,2.4,2.3,1.9,1.4,1,0.2,0.1,-0.5
John Crotty,80.9,2.4,2.1,1.9,1.3,1,0.8,0.3,-0.1
Al Bianchi,80.8,2.4,1.9,1.8,1.5,0.8,0.8,-0.1,-0.4
Trey Burke,79.9,2.4,2.4,2.1,1.9,0.9,0.5,NA,NA
Alonzo Gee,78.5,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1
Elston Turner,78.3,2.3,2.1,1.4,1.3,1.2,0.3,0.1,-0.2
Mike Bratz,77.7,2.7,2.1,1.9,1.7,1.5,0.8,0.4,-0.1
Randy Brown,76.5,2.4,1.9,1.8,1.6,1.5,1,0.4,0.3
Dion Waiters,76.4,2.1,1.6,1.6,1.2,1.1,0.9,0.1,NA
Lee Mayberry,76.3,2.1,1.8,1.6,1.6,0.4,0.4,-0.1,NA
