Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Em Bryant,,2.1,2,1.9,1.7,1.1,0.5,0.1,-0.7,NA,NA
Trey Burke,79.9,2.4,2.4,2.1,1.9,0.9,0.5,NA,NA,NA,NA
Alonzo Gee,78.5,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1,NA,NA
Elston Turner,78.3,2.3,2.1,1.4,1.3,1.2,0.3,0.1,-0.2,NA,NA
Dion Waiters,76.4,2.1,1.6,1.6,1.2,1.1,0.9,0.1,NA,NA,NA
Lee Mayberry,76.3,2.1,1.8,1.6,1.6,0.4,0.4,-0.1,NA,NA,NA
Mike Bratz,75.9,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,NA
Haywoode Workman,74.1,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1,NA,NA
Al Bianchi,73.8,2.4,1.9,1.8,1.5,0.8,0.8,0.2,-0.1,-0.4,-0.6
Med Park,73.8,1.9,1.9,1.8,1.6,0.4,NA,NA,NA,NA,NA
Gordan Giriček,73.3,2.4,1.9,1.8,1.6,0.5,-0.2,NA,NA,NA,NA
