Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Andrew Bynum,,8,7.8,6.6,5.5,4.8,4.2,0.4,0.1,NA,NA
Enes Kanter,85.5,8.1,7.6,6.4,5.8,5.4,2.3,2.2,1.7,NA,NA
Chuck Share,85.0,8.6,8.1,6.7,4.7,4.2,4,3.3,1.3,NA,NA
Steven Adams,83.5,9.7,9.1,6.5,6.5,4.1,2.9,NA,NA,NA,NA
DeMarcus Cousins,83.3,7.9,7.6,6,5.7,4.7,4.4,4.2,2.4,1.1,NA
Elmore Smith,83.0,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA,NA
Jonas Valančiūnas,82.6,8.2,7.9,7.6,6.9,6.7,4.2,3.9,NA,NA,NA
Emeka Okafor,81.6,8.2,7.1,6.5,5.8,5.5,4.5,4,1.7,1,1
Ray Felix,80.9,8.6,7.2,5.8,5.5,5.5,2.3,2,1.8,0.8,NA
Mason Plumlee,80.8,6.1,6,5.8,4.8,4.7,3.6,NA,NA,NA,NA
Arvydas Sabonis,77.9,9.7,8.4,7.5,7.1,5.8,4.9,3.7,NA,NA,NA
