Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Andrew Bynum,,8,7.8,6.6,5.5,4.8,4.2,0.4,0.1
Emeka Okafor,90.3,8.2,7.1,6.5,5.8,5.5,4,1.7,1
DeMarcus Cousins,87.3,7.9,7.6,6,5.7,4.7,4.4,4.2,1.1
Sam Lacey,86.8,7.7,7.4,5.6,5,4.3,2.7,1.2,0.3
Enes Kanter,85.5,8.1,7.6,6.4,5.8,5.4,2.3,2.2,1.7
Chuck Share,85.0,8.6,8.1,6.7,4.7,4.2,4,3.3,1.3
Caldwell Jones,84.9,8.1,7.6,6.2,5.5,5,4.4,3.9,3.1
Al Jefferson,84.7,7.8,7.7,7.5,6.6,4.9,4.6,2.7,2.3
Mike Gminski,84.2,9.2,6.5,6.1,5.4,4.3,4,1.8,1.5
Brook Lopez,83.9,9,7.9,7,6.3,6.2,5.8,2.3,0.3
Ray Felix,83.8,8.6,7.2,5.8,5.5,5.5,2,1.8,0.8
