Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Kenny Williams,,2.7,2.4,1.6,0.7
Omri Casspi,92.2,2.5,2.5,1.2,0.7
Howard Porter,91.8,2.7,2.4,1.1,1
Mark Acres,90.9,2.5,2.2,1.6,0.9
Ronald Thomas,88.8,2.7,2,1.8,0.8
Lavoy Allen,87.8,2.8,2.5,1.6,1.5
Phil Jackson,87.3,3.2,2.5,1.7,0.5
Mark Alarie,87.2,3.1,2.2,1.5,0.9
Ron Anderson,87.2,3.1,2.5,1.5,0.3
Jackie Moreland,86.8,2.6,2.5,2.3,0.5
James Singleton,86.7,3,2.3,1.1,0.7
