Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Kenny Williams,,2.7,2.4,1.6,0.7,NA,NA,NA
Bruce Seals,90.2,2.9,2.4,1.6,0.6,0.3,NA,NA
Ronald Thomas,88.8,2.7,2,1.8,0.8,NA,NA,NA
Shabazz Muhammad,86.7,2.7,2.7,2,0.7,0.3,NA,NA
Renaldo Balkman,85.6,2.8,2.6,1.3,0.3,0.1,0,NA
Tom Tolbert,85.4,2.7,2.5,1.3,0.1,0,0,0
James Hardy,84.0,2.5,1.8,1.3,0.7,NA,NA,NA
Chuck Terry,83.2,2.3,2.1,1.2,0.7,0.1,NA,NA
Brady Walker,83.1,2.8,1.9,1.2,1,NA,NA,NA
George Trapp,82.0,3.5,2.4,1.5,1,0.1,-0.2,NA
Shellie McMillon,81.6,2.5,2.2,1.7,1.7,NA,NA,NA
