Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Bob Harrison,,3.5,3.3,2.9,2.2,0.9,0.9,0,-0.4,NA
Whitey Skoog,87.6,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA
Billy McKinney,84.5,3.4,3.3,3,2.7,2.3,0.9,0.1,NA,NA
Tony Snell,84.4,3.4,3.2,2.4,2.4,1.6,0.4,NA,NA,NA
Brandon Rush,82.3,3.5,2.6,2.5,2,0.9,0.4,0,-0.3,-0.4
Greivis Vásquez,81.8,3.8,3.6,2.8,2.3,0.5,0,-0.3,NA,NA
Adrian Griffin,81.5,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0
Devin Brown,80.7,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1,NA
Mike McGee,80.3,3.2,3,2.8,2.3,1.9,1.1,0.4,0.2,0.2
Joe Hamilton,80.2,4.1,2.9,2.9,2.2,0.2,0.2,NA,NA,NA
Mike Dunleavy,79.8,3.4,3.1,3,2.6,1.4,1.4,1,0.2,0.1
