,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,22,MNL,NBA,,3,,2,3,,,6,8
1950-51,23,MNL,NBA,,6,,4,6,,,6,16
1951-52,24,MNL,NBA,,7,,5,6,,,6,16
1952-53,25,MNL,NBA,,6,,3,3,,,6,15
1955-56,28,STL,NBA,,5,,4,9,,,6,14
1956-57,29,TOT,NBA,,4,14,5,6,8,,6,10
1956-57,29,SYR,NBA,,4,14,5,6,8,,6,10
1957-58,30,SYR,NBA,,3,7,1,2,4,3,3,6
Career,,,,,7,,5,9,,,6,16
4 Seasons,,MNL,NBA,,7,,5,6,,,6,16
1 Season,,STL,NBA,,5,,4,9,,,6,14
2 Seasons,,SYR,NBA,,4,14,5,6,8,,6,10
