Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,22,MNL,NBA,,12,NA,NA,NA,NA,0.432,NA,NA,0.714,NA,NA,NA,NA
1950-51,23,MNL,NBA,,7,NA,NA,NA,NA,0.462,NA,NA,0.75,NA,NA,NA,NA
1951-52,24,MNL,NBA,SG,12,NA,235,4.6,10.4,0.441,2.1,2.6,0.824,3.1,3.7,6,11.3
1952-53,25,MNL,NBA,SG,12,NA,204,4.4,11.5,0.385,1.8,3.5,0.5,3.9,2.5,5.6,10.6
1955-56,28,STL,NBA,PG,8,NA,256,3.8,10.5,0.36,1.7,2.7,0.632,3.4,4.1,3.8,9.3
1956-57,29,SYR,NBA,SG,5,NA,133,3.2,12.2,0.267,2.2,2.4,0.889,3.5,4.1,5.7,8.7
1957-58,30,SYR,NBA,SG,3,NA,43,3.3,13.4,0.25,1.7,2.5,0.667,5.9,4.2,5,8.4
Career,NA,,NBA,,59,NA,871,4.1,11.1,0.385,1.9,2.8,0.689,3.6,3.6,5.2,10
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,MNL,NBA,,43,NA,439,4.5,10.9,0.428,2,3,0.678,3.4,3.1,5.8,11
1 season,NA,STL,NBA,,8,NA,256,3.8,10.5,0.36,1.7,2.7,0.632,3.4,4.1,3.8,9.3
2 seasons,NA,SYR,NBA,,8,NA,176,3.3,12.5,0.262,2,2.5,0.833,4.1,4.1,5.5,8.6
