Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Austin Carr,,5.9,5.4,5.3,5,3.4,2.9,2.6,2,1,-0.4,NA
Walt Hazzard,89.5,5.4,5.3,5,4.5,3.3,2.5,2.2,1.1,0.6,0.2,NA
Al Attles,89.2,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7,0.8,0.4
Jim Barnett,88.8,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0
Adrian Smith,88.5,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5
Mario Chalmers,88.0,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6,NA,NA
Clem Haskins,87.5,6.8,6.4,6.1,5.3,3.4,2.9,2.3,1.6,1,NA,NA
John Paxson,87.0,6,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6,0.6
Dave Twardzik,86.7,7.5,5.5,5.1,5.1,3.7,3,2.4,1.1,NA,NA,NA
Ricky Rubio,86.3,6.1,5.9,5.8,5.3,3.7,3,2,0.5,NA,NA,NA
Arron Afflalo,86.2,6.2,5.3,5.3,4.3,2.7,2.6,2,1.9,1.8,1.4,0.1
