Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
P.J. Tucker,,6.1,5,4.9,3.9,3.6,3.5,2.9,0.1,NA,NA,NA
Harrison Barnes,94.6,6.7,4.9,4.6,3.8,3.6,3.2,2.8,NA,NA,NA,NA
Walter Simon,91.2,6.1,4.8,4.5,4.1,3.4,2.7,2,NA,NA,NA,NA
Larry Siegfried,87.9,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5,0.1,NA,NA
Marcus Morris,87.3,5.4,4.5,4.2,4,3.9,3.2,1.8,-0.2,NA,NA,NA
Mike Bantom,85.9,5.9,5.2,4.8,4.5,4.4,3.9,2.9,2.7,0.5,NA,NA
Darnell Hillman,85.8,6.2,4.4,4.2,3.8,3.3,3.2,3.2,2.6,0.3,NA,NA
John Block,85.4,5.5,5.1,4.2,4.2,4.1,4.1,3.1,2.3,0.2,0,NA
Phil Hubbard,85.1,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2,NA
Morris Peterson,84.9,5.9,5.1,4.9,4.9,3.8,3.6,3.2,2.9,0.8,0.6,0
Louis Orr,83.8,4.8,4.3,4.3,3.8,3.7,3.5,1.5,-0.2,NA,NA,NA
