Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ken Charles,,3.3,3,2.3,0.6,0.6
Chico Vaughn,90.3,3.4,3.4,2.3,0.8,0.4
Sam Vincent,90.0,3.3,2.4,2.3,0.5,0.3
Anthony Peeler,89.9,3.7,2.7,2.4,0.8,0.6
Gerald Henderson,89.1,3.6,3.3,2.4,1,0.4
Quincy Pondexter,88.2,3.2,2.9,1.7,0.9,0.4
Steve Blake,87.0,3.8,2.8,2.1,0.7,0.3
Eddie Robinson,86.5,4,3,2.2,0.8,0.2
Mickaël Piétrus,85.7,3.6,2.8,2.1,1.5,0.6
Gary Neal,85.2,3.5,2.5,1.9,1,0.6
Marquis Daniels,84.6,4.2,3.2,2.5,0.9,0.6
