Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ken Charles,,3.3,3,2.3,0.6,0.6,NA,NA,NA
Eddie Robinson,86.5,4,3,2.2,0.8,0.2,NA,NA,NA
Pablo Prigioni,84.0,3.4,3.2,2.3,1.5,NA,NA,NA,NA
Quincy Pondexter,83.9,3.2,2.9,1.7,0.9,0.8,0.4,-0.2,NA
Bill Gabor,83.4,3.5,2.9,2.8,1.5,0.5,0,NA,NA
Eldridge Recasner,83.1,2.9,2.6,2.5,0.8,0.1,0,0,0
Jerian Grant,80.9,3.3,2.5,1.7,0.8,NA,NA,NA,NA
Sam Vincent,80.3,3.3,2.4,2.3,1.1,0.9,0.5,0.3,NA
Dick Farley,80.1,3,2.8,2.5,NA,NA,NA,NA,NA
Tyus Jones,79.8,3.6,3,1.5,0.3,NA,NA,NA,NA
Shammond Williams,79.1,3.1,2.9,1.2,1,0.5,0.2,0,NA
