Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,22,BUF,NBA,SG,2,NA,10,13,17.3,0.75,0,0,NA,8.7,0,8.7,0,0,0,NA,8.7,26,NA,NA,103
1974-75,23,BUF,NBA,SG,7,NA,208,4.8,12.1,0.4,1.8,2.4,0.727,0.7,2.2,2.8,3.9,1.3,1.1,NA,5.9,11.4,NA,NA,104
1975-76,24,BUF,NBA,SG,9,NA,238,4.3,10.7,0.4,1.7,2.5,0.692,1.2,3.9,5,2.7,1.4,1.2,NA,6,10.3,NA,NA,104
Career,NA,,NBA,,18,NA,456,4.7,11.5,0.412,1.7,2.4,0.708,1.1,3,4.1,3.2,1.3,1.1,NA,6,11.1,NA,NA,104
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,BUF,NBA,,18,NA,456,4.7,11.5,0.412,1.7,2.4,0.708,1.1,3,4.1,3.2,1.3,1.1,NA,6,11.1,NA,NA,104
