,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1995-96,25,TOT,NBA,,5,11,1,5,4,6,1,2,1,7,8,2,1,1,2,2,12,8.7
1995-96,25,MIA,NBA,,5,11,1,5,4,6,1,2,1,7,8,2,1,1,2,2,12,8.7
1997-98,27,TOT,NBA,30:28,6,12,4,5,5,8,4,6,2,7,8,4,1,0,1,6,17,13.1
1997-98,27,POR,NBA,30:28,6,12,4,5,5,8,4,6,2,7,8,4,1,0,1,6,17,13.1
1998-99,28,POR,NBA,24:42,3,7,3,6,2,5,4,4,2,2,3,3,2,1,4,5,9,7.4
2002-03,32,DAL,NBA,36:59,7,15,3,7,4,9,3,3,3,7,8,4,2,3,5,4,17,8.8
Career,,,,36:59,7,15,4,7,5,9,4,6,3,7,8,4,2,3,5,6,17,13.1
2 Seasons,,POR,NBA,30:28,6,12,4,6,5,8,4,6,2,7,8,4,2,1,4,6,17,13.1
1 Season,,DAL,NBA,36:59,7,15,3,7,4,9,3,3,3,7,8,4,2,3,5,4,17,8.8
1 Season,,MIA,NBA,,5,11,1,5,4,6,1,2,1,7,8,2,1,1,2,2,12,8.7
