Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Joey Dorsey,,1.9,0.8,0.1,0
Bill Bunting,92.9,2,0.7,0,NA
Ron Bonham,89.7,1.8,0.7,0.2,NA
Billy Schaeffer,87.9,1.9,0.8,0.5,NA
Brian Skinner,87.7,1.9,0.9,0.3,0.1
Jim Holstein,87.0,1.8,0.6,0.2,NA
Chris McNealy,86.0,1.6,0.8,0.2,NA
Tellis Frank,84.7,2,0.6,0.3,0.1
Boštjan Nachbar,84.1,1.7,0.8,0.1,-0.1
Ryan Kelly,83.9,2.2,0.7,0.1,0.1
Bernard Thompson,83.8,2.1,0.9,0.2,0.1
