Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Joey Dorsey,,1.9,0.8,0.1,0,NA
Bill Bunting,92.9,2,0.7,0,NA,NA
Ron Bonham,89.7,1.8,0.7,0.2,NA,NA
Billy Schaeffer,87.9,1.9,0.8,0.5,NA,NA
Jim Holstein,87.0,1.8,0.6,0.2,NA,NA
Chris McNealy,86.0,1.6,0.8,0.2,NA,NA
Ryan Kelly,83.9,2.2,0.7,0.1,0.1,NA
Bernard Thompson,83.8,2.1,0.9,0.2,0.1,0
Ron Riley,83.4,1.6,0.7,0.2,0,NA
Marquese Chriss,79.5,1.8,0.7,-0.2,NA,NA
Joe Kopicki,79.3,1.9,0.9,0.7,NA,NA
