Season,Team,Lg,Salary
1999-00,Cleveland Cavaliers,NBA,"$1,682,280"
2000-01,Cleveland Cavaliers,NBA,"$1,808,400"
2001-02,Cleveland Cavaliers,NBA,"$1,934,520"
2002-03,Los Angeles Clippers,NBA,"$2,460,709"
2003-04,Denver Nuggets,NBA,"$8,000,000"
2004-05,Denver Nuggets,NBA,"$7,366,667"
2005-06,Denver Nuggets,NBA,"$8,100,000"
2006-07,Philadelphia 76ers,NBA,"$8,733,333"
2007-08,Philadelphia 76ers,NBA,"$9,366,666"
2008-09,Philadelphia 76ers,NBA,"$10,333,334"
2009-10,Portland Trail Blazers,NBA,"$6,730,800"
2010-11,Portland Trail Blazers,NBA,"$7,269,264"
2011-12,Denver Nuggets,NBA,"$7,807,728"
2012-13,Denver Nuggets,NBA,"$5,000,000"
2013-14,Denver Nuggets,NBA,"$5,000,000"
2014-15,Sacramento Kings,NBA,"$4,625,000"
2015-16,Minnesota Timberwolves,NBA,"$1,499,187"
2015-16,San Antonio Spurs,NBA,"$396,844"
Career,(may be incomplete),,"$98,114,732"
