,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1995-96,19,UTAH,34,872,104,195,6,19,78,113,,126,157,38,21,90,67,292,.533,.316,.690,25.6,8.6,3.7,4.6
1996-97,20,UTAH,33,974,121,249,10,35,71,122,,154,201,59,13,95,62,323,.486,.286,.582,29.5,9.8,4.7,6.1
1997-98,21,UTAH,34,,173,315,20,60,117,162,,185,177,73,16,,,483,.549,.333,.722,,14.2,5.4,5.2
1998-99,22,UTAH,33,1092,190,387,22,83,118,171,,178,186,84,15,94,59,520,.491,.265,.690,33.1,15.8,5.4,5.6
Career,,,134,2938,588,1146,58,197,384,568,,643,721,254,65,279,188,1618,.513,.294,.676,29.4,12.1,4.8,5.4
