Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,NOB,ABA,SG,6,NA,18,6,18,0.333,0,0,NA,6,18,0.333,12,22,0.545,NA,NA,10,0,6,6,24
1968-69,24,NOB,ABA,SG,7,NA,39,9.2,20.3,0.455,3.7,5.5,0.667,5.5,14.8,0.375,3.7,6.5,0.571,NA,NA,3.7,0.9,3.7,6.5,25.8
Career,NA,,ABA,,13,NA,57,8.2,19.6,0.419,2.5,3.8,0.667,5.7,15.8,0.36,6.3,11.4,0.556,NA,NA,5.7,0.6,4.4,6.3,25.3
