Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,23,PHO,NBA,PG,69,NA,1251,7.1,15.4,0.46,3.2,3.7,0.86,1.6,3.4,5,5,1.4,0.3,3,17.4,NA,NA,104
1974-75,24,PHO,NBA,SG,68,NA,1529,7,16.2,0.43,3.4,4.2,0.809,1.4,4.3,5.6,4.7,1.4,0.4,3.5,17.4,NA,NA,101
Career,NA,,NBA,,137,NA,2780,7,15.8,0.444,3.3,4,0.831,1.5,3.9,5.3,4.8,1.4,0.3,3.3,17.4,NA,NA,102
