Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Malcolm Brogdon,,6.5,4.1,2.7,NA,NA
Stephen Chubin,88.5,6.9,4,1.7,NA,NA
Spencer Dinwiddie,86.5,5.7,4.8,2.8,0.1,0.1
Wilbur Holland,85.1,5.9,4.4,3.8,-0.1,NA
Rudy Fernández,84.4,6.1,3.8,3,1.2,NA
Chick Reiser,83.9,5.5,3.9,3.7,NA,NA
Charles Beasley,83.7,8,4.1,2.6,0.7,NA
Buddy Jeannette,81.7,8.2,4.9,2.6,NA,NA
Don Carlson,80.9,5.8,2.8,2.6,0.2,NA
Tyler Johnson,74.2,5.8,4.2,2.3,2,0.8
Jamal Murray,73.9,5.5,5.1,1.3,NA,NA
