,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2004-05,27,DAL,NBA,PG,13,501,97%,3%,,,,-0.7,+6.8,21,7,9,0,19,0,132,4,10
2005-06,28,DAL,NBA,PG,22,844,98%,2%,,,,+4.3,0.0,17,10,16,7,31,4,192,7,15
2006-07,29,DAL,NBA,SG,6,229,53%,47%,,,,-6.8,+3.5,13,3,2,1,9,0,51,1,4
2007-08,30,DAL,NBA,SG,5,180,27%,73%,,,,-11.7,-5.3,3,2,4,0,6,0,57,1,0
2008-09,31,DAL,NBA,SG,10,325,,88%,12%,,,-8.3,-22.9,7,7,6,1,11,1,39,0,6
2009-10,32,DAL,NBA,SG,6,174,,74%,26%,,,-2.7,-5.0,2,2,5,2,8,0,28,0,4
2010-11,33,DAL,NBA,SG,21,684,,96%,4%,,,+11.1,+12.7,17,8,23,1,24,2,158,1,8
2011-12,34,DAL,NBA,SG,4,139,,98%,2%,,,-12.2,-21.0,4,3,2,1,3,1,35,0,2
2012-13,35,BOS,NBA,SG,6,189,47%,53%,,,,-1.5,+14.2,4,1,4,0,2,0,29,0,1
2014-15,37,HOU,NBA,SG,17,487,99%,2%,,,,-2.0,-0.4,15,4,18,0,4,1,114,1,4
2015-16,38,HOU,NBA,SG,5,124,69%,31%,,,,-26.6,-14.3,1,2,5,0,1,0,16,0,1
2016-17,39,MIL,NBA,SG,6,68,14%,86%,,,,-0.8,+1.0,1,0,3,1,1,0,12,1,0
2017-18,40,MIL,NBA,SG,3,44,7%,89%,4%,,,-4.9,-6.1,0,1,0,0,0,0,5,0,0
Career,,,NBA,,124,3988,54%,43%,3%,,,-0.6,+0.3,105,50,97,14,119,9,868,16,55
,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,DAL,NBA,,87,3076,48%,48%,4%,,,+0.8,+0.2,84,42,67,13,111,8,692,14,49
2 seasons,,HOU,NBA,,22,611,93%,7%,,,,-7.0,-3.2,16,6,23,0,5,1,130,1,5
2 seasons,,MIL,NBA,,9,112,11%,87%,1%,,,-2.4,-1.8,1,1,3,1,1,0,17,1,0
1 season,,BOS,NBA,,6,189,47%,53%,,,,-1.5,+14.2,4,1,4,0,2,0,29,0,1
