Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Greg Foster,,1.3,1,1,0.6,0.6,0.5,0.4,0.2,0.1,0.1,0,0,-0.3
Malik Allen,76.4,1.1,1,1,1,0.9,0.7,0.5,0.3,0.2,0.1,NA,NA,NA
Anthony Randolph,69.8,1.6,1.5,1.1,0.6,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
John Wallace,67.3,1.6,1.5,1,1,0.7,0.3,0.3,NA,NA,NA,NA,NA,NA
Brian Scalabrine,65.9,1.7,1.4,1.1,1,0.9,0.6,0.3,0.3,0.2,0.1,-0.1,NA,NA
Major Jones,63.9,1.3,1.3,1.2,0.9,0.7,0.1,NA,NA,NA,NA,NA,NA,NA
Joe Ellis,60.9,1.3,1.3,1.1,1,0.5,0.4,-0.2,-0.3,NA,NA,NA,NA,NA
Gary Gregor,60.3,1.4,1.1,0.8,0.5,0.5,-0.4,NA,NA,NA,NA,NA,NA,NA
Henry Walker,59.8,1.9,1.1,0.9,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA
Darvin Ham,59.5,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4,NA,NA,NA,NA,NA
Rafael Addison,58.9,1.5,1.5,0.9,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA
