,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,23,NOB,ABA,,11,,0,,,,10,14,,,,,,,,,29
1968-69,24,NOB,ABA,,19,,0,,,,17,20,,,,,,,,,45
1970-71,26,MMP,ABA,,9,,0,,,,6,9,,,,,,,,,24
1971-72,27,UTS,ABA,,13,,0,,,,9,10,,,,,,,,,32
1972-73,28,UTS,ABA,,13,,0,,,,9,10,,,,,,,,,34
1973-74,29,UTS,ABA,,13,,0,,,,9,13,,,,,,,,,29
1974-75,30,WSB,NBA,,6,9,,,,,2,2,,,4,5,,,,,12
1975-76,31,WSB,NBA,,5,11,,,,,6,8,1,3,4,3,3,0,,4,14
Career,,,TOT,,19,,,,,,17,20,,,,,,,,,45
,,,NBA,,6,11,,,,,6,8,,,4,5,,,,,14
,,,ABA,,19,,0,,,,17,20,,,,,,,,,45
,,,,,,,,,,,,,,,,,,,,,
3 Seasons,,UTS,ABA,,13,,0,,,,9,13,,,,,,,,,34
3 Seasons,,"MMP,NOB",ABA,,19,,0,,,,17,20,,,,,,,,,45
2 Seasons,,WSB,NBA,,6,11,,,,,6,8,,,4,5,,,,,14
