Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Tyson Chandler,,10.3,10,9.5,9.4,9.3,8.3,7.9,5.4,4.9,4.1,3.9,3.8,3.4,2.9,2.7,2.1,1.9,1.8
Dikembe Mutombo,85.3,11.3,10.8,9.9,9.6,9.4,8.8,8.7,8.1,7.9,7.6,5.2,4.8,4.7,3.8,3.1,2.3,0.8,0.2
Al Horford,84.5,10.9,10.1,9.4,8.8,8.7,7.8,7.5,6.8,6.3,5.5,2.8,1.3,NA,NA,NA,NA,NA,NA
Bill Laimbeer,83.7,10.8,10.5,10.1,9.8,9.2,9,8.8,8.5,8,5.4,5.4,4.9,4.7,0.5,NA,NA,NA,NA
Alonzo Mourning,82.4,12.9,9.9,9.4,8.4,8.2,7.9,7.5,7.4,6.3,4.8,3.5,1.2,0.9,0.8,0.6,NA,NA,NA
Brad Miller,81.8,10,9.6,9.1,8.6,8.3,6.5,5.1,4,3.8,3.4,3,2.7,2.1,0.2,NA,NA,NA,NA
Dave Cowens,81.3,12,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4,2.6,NA,NA,NA,NA,NA,NA,NA
Marcus Camby,81.1,10.3,8.5,7.6,6.9,6.8,5.9,5.8,5.5,5.2,3.7,3.7,3.6,3.5,2.1,1.5,0.9,0,NA
Marc Gasol,80.9,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6,5.6,4,3.7,NA,NA,NA,NA,NA,NA,NA
Jack Sikma,80.9,12.6,9.8,9.7,9.4,8.8,8.6,8.3,8.1,8,7.8,7.4,5.4,5,3.5,NA,NA,NA,NA
Wes Unseld,79.2,11.1,10.8,10.7,10.6,10,9.5,8.7,8.4,8.3,6.8,6.2,5.5,3.6,NA,NA,NA,NA,NA
