Thru 15 Years,Thru 15 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Brad Davis,,7.4,7.3,6.2,6.2,5.4,4.2,4,3.9,2.9,2.7,1.6,0.6,0.6,0.3,0.1
Nick Van Exel,93.0,7.2,7.1,6.4,6.4,5.7,4.9,4.4,4,3.4,2.2,1.6,1.4,1.2,NA,NA
Avery Johnson,90.9,9.1,8,6.7,6.3,5.2,4.1,3.9,3.4,3,2.6,1.6,1.3,0.5,0.4,0.3
Darren Collison,90.4,7.6,6.8,5.9,5.6,5.2,4.3,3.9,3.8,3.8,2.9,NA,NA,NA,NA,NA
Latrell Sprewell,90.0,8.1,8,6.6,5.7,5.5,5.1,4,3.2,3,2.8,2,1.9,0.4,NA,NA
Jason Richardson,89.4,7.4,7.3,6.9,6.6,5.8,5.7,5.2,3.7,3,2.9,2.8,1.4,0.4,NA,NA
Dick McGuire,88.7,6.9,6.6,6.3,5.3,5.3,4.7,4.5,4,4,2.1,1.3,NA,NA,NA,NA
Damon Stoudamire,88.5,7.6,6.7,6.6,6.1,5.9,5.7,4.7,4.3,3.6,1.7,1.6,1.1,-0.1,NA,NA
Antonio Daniels,88.1,6.8,6.6,5.9,5.8,5.3,4.5,4.3,3.6,2.3,1.8,1.5,0,-1.3,NA,NA
Muggsy Bogues,87.8,8.6,6.7,6.4,5.9,5,4.8,4.8,3.7,2.6,2.3,1.7,1.7,0,-0.1,NA
Vinnie Johnson,87.8,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.8,3.2,2.7,2.3,1.2,0.2,NA,NA
