Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,23,TOT,BAA,NA,50,NA,NA,89,267,0.333,44,63,0.698,NA,41,113,222
1948-49,23,CHS,BAA,NA,2,NA,NA,1,3,0.333,0,0,NA,NA,0,2,2
1948-49,23,BOS,BAA,NA,26,NA,NA,36,109,0.33,9,19,0.474,NA,13,34,81
1948-49,23,STB,BAA,NA,22,NA,NA,52,155,0.335,35,44,0.795,NA,28,77,139
1949-50,24,STB,NBA,NA,67,NA,NA,77,222,0.347,28,39,0.718,NA,24,90,182
Career,NA,,TOT,NA,117,NA,NA,166,489,0.339,72,102,0.706,NA,65,203,404
,NA,,NBA,NA,67,NA,NA,77,222,0.347,28,39,0.718,NA,24,90,182
,NA,,BAA,NA,50,NA,NA,89,267,0.333,44,63,0.698,NA,41,113,222
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,STB,BAA,NA,89,NA,NA,129,377,0.342,63,83,0.759,NA,52,167,321
1 season,NA,BOS,BAA,NA,26,NA,NA,36,109,0.33,9,19,0.474,NA,13,34,81
1 season,NA,CHS,BAA,NA,2,NA,NA,1,3,0.333,0,0,NA,NA,0,2,2
