Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Tomáš Satoranský,,5,4.7,0.6,NA,NA
Fred VanVleet,89.8,4.7,4.3,0.2,NA,NA
Bruce Hale,86.7,5.1,4.4,-0.4,NA,NA
Joe Harris,84.8,5.5,4,0.8,0.2,0
Jamal Murray,84.8,5.5,5.1,1.3,NA,NA
Jim Spanarkel,82.6,5.5,5.2,1,0.4,0.2
Delon Wright,82.3,4.5,4.3,1.1,0.6,NA
Spencer Dinwiddie,73.9,5.7,4.8,2.8,0.1,0.1
Walt Kirk,71.4,5,2.3,0.4,NA,NA
Keith Jennings,71.2,4.2,2.9,0.6,NA,NA
Earl Tatum,70.1,4.4,2.6,0.7,0,NA
