Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Bob Davies,,8.6,7.7,7.7,7.4,6.9,6.3,5.2,NA,NA,NA,NA,NA,NA,NA
Kerry Kittles,90.2,8.4,7.7,7.7,7.6,6.9,4.7,1.8,0.2,NA,NA,NA,NA,NA,NA
Klay Thompson,86.3,8.8,8,7.1,6.7,5.3,4.9,4.3,1.7,NA,NA,NA,NA,NA,NA
Kemba Walker,86.3,9.9,8.6,8.1,7.4,5.1,4.8,4.5,0.3,NA,NA,NA,NA,NA,NA
Jo Jo White,86.2,8,7.4,7.3,6.7,6.5,6.1,5.4,2,1.7,1.5,1.1,0.1,NA,NA
Freddie Lewis,84.8,7.6,7.5,7.3,7.2,6.2,6,5.2,3.2,3,0.5,0,NA,NA,NA
Pete Maravich,81.5,7.6,7.6,7.1,6.4,6.2,4.2,3.9,2.9,0.5,0.1,NA,NA,NA,NA
Jeff Teague,81.3,8.1,7.7,6.1,6,5.9,5.2,4.9,2.2,1.7,0.6,NA,NA,NA,NA
Ty Lawson,81.1,7.4,7,6.9,6.7,6.3,3.7,3.2,0.9,NA,NA,NA,NA,NA,NA
Jim Paxson,80.9,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3,NA,NA,NA
Darrell Armstrong,80.4,8.7,8,7.6,6.4,5.3,4.9,3.2,2.5,1.8,0.8,0.3,0.1,0.1,0
