Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Bob Davies,,8.6,7.7,7.7,7.4,6.9,6.3,5.2
Bob Cousy,94.2,8.8,8.1,7.8,7.7,7.2,6.8,3.9
Hal Greer,94.2,8.5,8.2,8.1,7.9,6.6,5.8,4.5
Dennis Johnson,94.0,8.4,8.1,7.4,6.6,6.6,5.8,4.5
Louie Dampier,92.7,9.5,8.5,8.1,7.4,7.2,5.4,5
Rolando Blackman,91.8,9.8,8,7.3,7,6.8,5.7,4.1
Michael Finley,91.1,8.5,8.3,7.5,6.3,6.3,5.4,3.9
Andre Iguodala,91.1,9.6,9.2,7.7,7.5,6.7,6.7,6.6
Kerry Kittles,90.6,8.4,7.7,7.7,7.6,6.9,4.7,1.8
Calvin Murphy,90.1,9.2,8.8,8.3,8,7.7,7.4,5
Stephon Marbury,88.7,9.6,7.8,7.4,7.1,5.3,5.3,3.7
