Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1948-49,29,ROC,BAA,PG,60,NA,NA,0.441,0.4,NA,NA,NA,NA,NA,7.1,1.5,8.6,NA
1949-50,30,ROC,NBA,PG,64,NA,NA,0.43,0.391,NA,NA,NA,NA,NA,4.7,2.9,7.7,NA
1950-51,31,ROC,NBA,PG,63,NA,NA,0.457,0.434,NA,NA,NA,NA,NA,5.3,1.6,6.9,NA
1951-52,32,ROC,NBA,PG,65,2394,17.4,0.455,0.383,NA,NA,NA,NA,NA,4.7,1.6,6.3,0.126
1952-53,33,ROC,NBA,PG,66,2216,18.1,0.474,0.53,NA,NA,NA,NA,NA,5.2,2.2,7.4,0.161
1953-54,34,ROC,NBA,PG,72,2137,18,0.458,0.557,NA,NA,NA,NA,NA,4.4,3.3,7.7,0.172
1954-55,35,ROC,NBA,PG,72,1870,18.5,0.477,0.373,NA,NA,NA,NA,NA,4,1.2,5.2,0.132
Career,NA,,TOT,,462,8617,18,0.456,0.436,NA,NA,NA,NA,NA,35.4,14.3,49.7,0.148
,NA,,NBA,,402,8617,18,0.458,0.442,NA,NA,NA,NA,NA,28.3,12.7,41.1,0.148
,NA,,BAA,,60,NA,NA,0.441,0.4,NA,NA,NA,NA,NA,7.1,1.5,8.6,NA
