Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Rodney Stuckey,,5,4.5,4,3.8,2.7,2.5,2.2,2,2,-0.1
John Long,90.3,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2,0.2
Eric Piatkowski,90.2,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2,1.2,0.9
Ricky Sobers,90.1,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,1,0.1
Guy Rodgers,89.9,6.2,4.8,4.3,4,2.8,2.5,2.4,2.3,2.1,-0.2
Eric Gordon,88.1,5.3,4.7,4.6,3.8,3.2,2.9,2.5,2.1,1.1,0.7
Tony Allen,87.8,5.1,4.7,4.2,2.7,2.7,2.7,1.9,1.9,1.7,1.6
Chucky Atkins,87.8,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3,-0.2
Hubert Davis,87.4,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.1
Thabo Sefolosha,86.9,6.8,4.5,4.1,4,3,2.5,2.2,1.8,1.5,0.8
Allen Leavell,86.7,5.1,4.8,4.3,4,3.8,3,2.4,1.9,0.6,-0.1
