Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Randy Denton,,5.5,4.3,3.9,3.1,3,0.4
Mark Eaton,91.9,5.4,4.1,4,3.7,3.6,0.8
John Gianelli,91.1,5.5,4.4,3.6,3.2,2.5,1.2
Jason Collins,88.6,4.9,4.7,3.9,3,2,0.6
Benoit Benjamin,87.5,5.4,5.1,4,3,2,1.1
Eddy Curry,86.5,4.7,4.3,3.5,3.3,3,1.8
Greg Ostertag,86.3,5.9,4.2,3.8,3.8,2.2,1.4
Kevin Kunnert,86.2,5.1,4.8,4.1,2.6,2.3,1
Tim McCormick,85.9,6,4.6,3.9,3.8,2,-0.1
Dewayne Dedmon,85.4,5.2,4,3.7,2.4,1.7,0.6
Matt Geiger,85.3,5.9,4.5,4.3,2.7,1.9,1.2
