Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Sonny Dove,,4.3,3,0.4,0,-0.5
Bill Closs,84.5,4.4,2.8,0,NA,NA
Jaylen Brown,79.9,4.5,3,1.5,NA,NA
Len Chappell,79.4,3.6,3.2,0.5,0.1,0.1
Ime Udoka,78.5,3.9,2.8,1.3,0,0
Ollie Darden,77.5,3.7,3.6,0.3,NA,NA
Bruce Bowen,74.9,4.2,2.2,1.2,0,0
Kenny Gattison,74.0,4.5,3,1.5,0.7,0
Sam Smith,73.9,4.6,3.3,1.4,0.2,NA
Michael Ansley,72.8,3.3,3.1,0,NA,NA
Larry Stewart,72.1,4.7,2.9,1.6,0.5,0.1
