Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,22,DET,NBA,PF,28,NA,5.8,0.8,2.7,0.293,NA,NA,NA,0.8,2.7,0.293,0.293,0.4,0.9,0.462,NA,NA,1.9,0.4,NA,NA,1,2
1968-69,23,DET,NBA,PF,29,NA,8.1,1.6,3.4,0.47,NA,NA,NA,1.6,3.4,0.47,0.47,0.8,1.2,0.667,NA,NA,2.1,0.4,NA,NA,1.7,4.1
1969-70,24,NYA,ABA,PF,80,NA,28.6,5.7,12.3,0.462,0,0.2,0.154,5.7,12.2,0.466,0.463,3,4.7,0.633,3,3.8,6.8,1.3,NA,2.5,3.7,14.4
1970-71,25,NYA,ABA,PF,83,NA,27.5,5.6,12.1,0.464,0,0.2,0.286,5.6,12,0.467,0.466,2.2,3.3,0.681,3.2,5,8.1,1.1,NA,2.7,3.7,13.5
1971-72,26,NYA,ABA,PF,2,NA,4.5,1,2.5,0.4,0,0,NA,1,2.5,0.4,0.4,1,1.5,0.667,0.5,0,0.5,0.5,NA,1,2,3
Career,NA,,TOT,,222,NA,22.4,4.5,9.8,0.457,0,0.2,0.222,4.5,9.7,0.46,0.459,2.1,3.2,0.647,3,4.4,6,1,NA,2.6,3.1,11.1
,NA,,ABA,,165,NA,27.7,5.6,12.1,0.463,0,0.2,0.222,5.6,11.9,0.466,0.464,2.6,4,0.653,3,4.4,7.4,1.2,NA,2.6,3.7,13.8
,NA,,NBA,,57,NA,7,1.2,3.1,0.394,NA,NA,NA,1.2,3.1,0.394,0.394,0.6,1.1,0.581,NA,NA,2,0.4,NA,NA,1.3,3.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NYA,ABA,,165,NA,27.7,5.6,12.1,0.463,0,0.2,0.222,5.6,11.9,0.466,0.464,2.6,4,0.653,3,4.4,7.4,1.2,NA,2.6,3.7,13.8
2 seasons,NA,DET,NBA,,57,NA,7,1.2,3.1,0.394,NA,NA,NA,1.2,3.1,0.394,0.394,0.6,1.1,0.581,NA,NA,2,0.4,NA,NA,1.3,3.1
