,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,22,DET,NBA,,4,,,,,,3,11,,,,,,,,8
1968-69,23,DET,NBA,,6,,,,,,3,6,,,,,,,,13
1969-70,24,NYA,ABA,,13,,1,,,,10,14,,,,,,,,32
1970-71,25,NYA,ABA,,16,,1,,,,12,16,,,,,,,,36
1971-72,26,NYA,ABA,,1,,0,,,,2,3,,,,,,,,4
Career,,,TOT,,16,,,,,,12,16,,,,,,,,36
,,,NBA,,6,,,,,,3,11,,,,,,,,13
,,,ABA,,16,,1,,,,12,16,,,,,,,,36
,,,,,,,,,,,,,,,,,,,,
3 Seasons,,NYA,ABA,,16,,1,,,,12,16,,,,,,,,36
2 Seasons,,DET,NBA,,6,,,,,,3,11,,,,,,,,13
