Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,22,DET,NBA,PF,28,NA,162,4.9,16.7,0.293,NA,NA,NA,4.9,16.7,0.293,2.7,5.8,0.462,NA,NA,11.6,2.4,NA,NA,6,12.4
1968-69,23,DET,NBA,PF,29,NA,236,7.2,15.3,0.47,NA,NA,NA,7.2,15.3,0.47,3.7,5.5,0.667,NA,NA,9.5,1.8,NA,NA,7.5,18
1969-70,24,NYA,ABA,PF,80,NA,2284,7.2,15.6,0.462,0,0.2,0.154,7.2,15.4,0.466,3.8,6,0.633,3.7,4.8,8.6,1.7,NA,3.2,4.6,18.2
1970-71,25,NYA,ABA,PF,83,NA,2280,7.4,15.9,0.464,0.1,0.2,0.286,7.3,15.7,0.467,2.9,4.3,0.681,4.2,6.5,10.7,1.4,NA,3.5,4.8,17.7
1971-72,26,NYA,ABA,PF,2,NA,9,8,20,0.4,0,0,NA,8,20,0.4,8,12,0.667,4,0,4,4,NA,8,16,24
Career,NA,,TOT,,222,NA,4971,7.2,15.7,0.457,0,0.2,0.222,7.2,15.5,0.46,3.4,5.2,0.647,3.9,5.7,9.7,1.6,NA,3.4,4.9,17.8
,NA,,ABA,,165,NA,4573,7.3,15.7,0.463,0,0.2,0.222,7.2,15.5,0.466,3.4,5.2,0.653,3.9,5.7,9.6,1.5,NA,3.4,4.7,18
,NA,,NBA,,57,NA,398,6.2,15.8,0.394,NA,NA,NA,6.2,15.8,0.394,3.3,5.6,0.581,NA,NA,10.3,2.1,NA,NA,6.9,15.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NYA,ABA,,165,NA,4573,7.3,15.7,0.463,0,0.2,0.222,7.2,15.5,0.466,3.4,5.2,0.653,3.9,5.7,9.6,1.5,NA,3.4,4.7,18
2 seasons,NA,DET,NBA,,57,NA,398,6.2,15.8,0.394,NA,NA,NA,6.2,15.8,0.394,3.3,5.6,0.581,NA,NA,10.3,2.1,NA,NA,6.9,15.7
