Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,22,DET,NBA,PF,28,NA,162,22,75,0.293,NA,NA,NA,22,75,0.293,0.293,12,26,0.462,NA,NA,52,11,NA,NA,27,56
1968-69,23,DET,NBA,PF,29,NA,236,47,100,0.47,NA,NA,NA,47,100,0.47,0.47,24,36,0.667,NA,NA,62,12,NA,NA,49,118
1969-70,24,NYA,ABA,PF,80,NA,2284,456,987,0.462,2,13,0.154,454,974,0.466,0.463,240,379,0.633,236,307,543,107,NA,201,295,1154
1970-71,25,NYA,ABA,PF,83,NA,2280,467,1006,0.464,4,14,0.286,463,992,0.467,0.466,186,273,0.681,264,412,676,88,NA,224,304,1124
1971-72,26,NYA,ABA,PF,2,NA,9,2,5,0.4,0,0,NA,2,5,0.4,0.4,2,3,0.667,1,0,1,1,NA,2,4,6
Career,NA,,TOT,,222,NA,4971,994,2173,0.457,6,27,0.222,988,2146,0.46,0.459,464,717,0.647,501,719,1334,219,NA,427,679,2458
,NA,,ABA,,165,NA,4573,925,1998,0.463,6,27,0.222,919,1971,0.466,0.464,428,655,0.653,501,719,1220,196,NA,427,603,2284
,NA,,NBA,,57,NA,398,69,175,0.394,NA,NA,NA,69,175,0.394,0.394,36,62,0.581,NA,NA,114,23,NA,NA,76,174
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NYA,ABA,,165,NA,4573,925,1998,0.463,6,27,0.222,919,1971,0.466,0.464,428,655,0.653,501,719,1220,196,NA,427,603,2284
2 seasons,NA,DET,NBA,,57,NA,398,69,175,0.394,NA,NA,NA,69,175,0.394,0.394,36,62,0.581,NA,NA,114,23,NA,NA,76,174
