Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Sonny Dove,,4.3,3,0.4,0,-0.5
Bill Closs,84.5,4.4,2.8,0,NA,NA
Jaylen Brown,79.9,4.5,3,1.5,NA,NA
Ollie Darden,77.5,3.7,3.6,0.3,NA,NA
Sam Smith,73.9,4.6,3.3,1.4,0.2,NA
Michael Ansley,72.8,3.3,3.1,0,NA,NA
Larry Stewart,72.1,4.7,2.9,1.6,0.5,0.1
Andy Duncan,71.1,3.7,3.4,-0.3,NA,NA
Dāvis Bertāns,70.8,4,3.1,2.3,NA,NA
Zeke Zawoluk,70.3,3.9,2.5,1.7,NA,NA
Dike Eddleman,70.1,3.8,3.7,-0.1,-0.1,NA
