,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,22,DET,NBA,,2,4,,,,,0,0,,,2,0,,,0,4
1969-70,24,NYA,ABA,,11,,1,,,,7,8,,,,,,,,26
1970-71,25,NYA,ABA,,3,,0,,,,1,4,,,,,,,,7
Career,,,TOT,,11,,,,,,7,8,,,,,,,,26
,,,NBA,,2,4,,,,,0,0,,,2,0,,,0,4
,,,ABA,,11,,1,,,,7,8,,,,,,,,26
,,,,,,,,,,,,,,,,,,,,
2 Seasons,,NYA,ABA,,11,,1,,,,7,8,,,,,,,,26
1 Season,,DET,NBA,,2,4,,,,,0,0,,,2,0,,,0,4
