Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,22,DET,NBA,PF,28,162,6.4,0.324,NA,0.347,NA,NA,NA,8.3,NA,NA,NA,NA,-0.6,0.1,-0.5,-0.136
1968-69,23,DET,NBA,PF,29,236,13.6,0.509,NA,0.36,NA,NA,NA,7.1,NA,NA,NA,NA,0.3,0.1,0.4,0.088
1969-70,24,NYA,ABA,PF,80,2284,14.7,0.5,0.013,0.384,NA,NA,11.4,7,NA,14.8,22.3,NA,2.1,2.2,4.3,0.09
1970-71,25,NYA,ABA,PF,83,2280,13.9,0.499,0.014,0.271,NA,NA,14.5,5.6,NA,16.6,22.5,NA,1.5,1.5,3,0.063
1971-72,26,NYA,ABA,PF,2,9,3.3,0.475,0,0.6,11.1,0,5.4,16.3,NA,24,36,NA,0,0,0,0.019
Career,NA,,TOT,,222,4971,14,0.494,0.012,0.33,11.1,0,12.9,6.4,NA,15.7,22.4,NA,3.3,3.9,7.2,0.07
,NA,,ABA,,165,4573,14.3,0.5,0.014,0.328,11.1,0,12.9,6.3,NA,15.7,22.4,NA,3.6,3.7,7.2,0.076
,NA,,NBA,,57,398,10.7,0.43,NA,0.354,NA,NA,NA,7.6,NA,NA,NA,NA,-0.3,0.2,0,-0.003
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NYA,ABA,,165,4573,14.3,0.5,0.014,0.328,11.1,0,12.9,6.3,NA,15.7,22.4,NA,3.6,3.7,7.2,0.076
2 seasons,NA,DET,NBA,,57,398,10.7,0.43,NA,0.354,NA,NA,NA,7.6,NA,NA,NA,NA,-0.3,0.2,0,-0.003
