Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Mike Lewis,,7.9,7.5,4,3.8,1.1,0,NA,NA
Myles Turner,85.1,8,6.3,4.7,3.1,NA,NA,NA,NA
Bob Rule,81.7,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0
Gene Moore,75.9,6.8,5.7,5,4.5,1.9,0.8,0,NA
Tom Burleson,75.7,8.2,4.4,4.3,3.3,2.7,0.2,-0.1,NA
Steve Stipanovich,75.0,9,6.9,5.9,5,3.6,NA,NA,NA
Gheorghe Mureșan,74.8,8,5.3,4.1,1.3,0.3,-0.1,NA,NA
Don Otten,73.5,8.5,5.8,4.9,1.7,NA,NA,NA,NA
George Ratkovicz,72.8,9.3,6,5.4,5.2,2.8,-0.1,NA,NA
Cody Zeller,72.0,6.3,5.6,3.9,3.8,2.6,1.9,NA,NA
Nikola Peković,71.1,6.7,5.9,4.5,1.2,0.6,-0.1,NA,NA
