Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Mike Lewis,,7.9,7.5,4,3.8,1.1,0
Sam Lacey,88.9,7.7,7.4,5,2.7,1.2,0.3
Tom Boerwinkle,85.3,9,7.4,4.4,2.6,1.7,0.5
Myles Turner,85.1,8,6.3,4.7,3.1,NA,NA
Tyson Chandler,83.7,8.3,7.9,5.4,3.9,1.9,1.8
Bob Rule,82.6,7.8,6.4,5.2,2.4,0.5,0.1
Andris Biedriņš,81.9,8,6.7,5.4,2.9,1.6,1.2
Marcin Gortat,81.4,7.6,6.4,3.4,3.4,3.3,0.1
Zydrunas Ilgauskas,81.1,9.4,7.8,5,2.5,0.7,0.5
Rasho Nesterović,80.9,7.2,5.2,4.1,3,1.5,0
Bill Walton,80.8,10.2,8.4,3.8,3.6,2,0.8
